BVD,Name,SIC,Industry,OM
IN0007618779,MMC HARDMETAL INDIA PRIVATE LIMITED,3441.0,Manufacturing,0.14611943980708356
IN496275FI,SHRADHA INFRAPROJECTS LIMITED,1531.0,Construction,0.14599716679952565
IN0004245854,KALA JYOTHI PROCESS PRIVATE LIMITED,2759.0,Manufacturing,0.14500262570092418
IN31851FI,VADILAL INDUSTRIES LIMITED,2024.0,Manufacturing,0.1444272109369957
IN33998FI,PERSISTENT SYSTEMS LIMITED,7379.0,Services,0.14426145094790066
IN0002479161,DELOITTE FINANCIAL ADVISORY SERVICES INDIA PRIVATE LIMITED,8721.0,Services,0.14424287329401933
IN0000238157,KALYANI TECHNOFORGE LIMITED,3462.0,Manufacturing,0.14419848686432862
IN0002942842,FRANK LIFECARE PRIVATE LIMITED,2879.0,Manufacturing,0.14403656403035783
IN0000755108,EPAM SYSTEMS INDIA PRIVATE LIMITED,8742.0,Services,0.14355387358129615
IN0000972352,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.14333911225578302
IN37128FI,CRAFTSMAN AUTOMATION LIMITED,8711.0,Services,0.1428648821097104
IN0000672939,AICHELIN UNITHERM HEAT TREATMENT SYSTEMS INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.14243877614536452
IN33881FI,RAMKRISHNA FORGINGS LIMITED,3462.0,Manufacturing,0.1408439321332765
IN117597FI,FOCUS LIGHTING & FIXTURES LTD,3645.0,Manufacturing,0.14068798555419063
IN0000420982,ABHITECH ENERGYCON LIMITED,8712.0,Services,0.14038176878184308
IN0013140457,LUMAX MANNOH ALLIED TECHNOLOGIES LIMITED,3751.0,Manufacturing,0.1398476002456561
IN0000235143,APOLLO MULTISPECIALITY HOSPITALS LIMITED,3841.0,Manufacturing,0.13941102726625967
IN0001534074,BAYER PHARMACEUTICALS PRIVATE LIMITED,2834.0,Manufacturing,0.13926424398417683
IN0011078862,FOUNDEVER CRM INDIA PRIVATE LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.13854748404011888
IN0014817679,BOSTON SCIENTIFIC TECHNOLOGY & ENGINEERING SERVICES PRIVATE LIMITED,8731.0,Services,0.1384654939632637
IN0002617424,DELVAL FLOW CONTROLS PRIVATE LIMITED,3559.0,Manufacturing,0.1382068387704599
IN0004946416,SHYAM SEL AND POWER LIMITED,3312.0,Manufacturing,0.13752860724494628
IN0007086246,PARANJAPE AUTOCAST PRIVATE LIMITED,3321.0,Manufacturing,0.13704245282049576
IN30257FI,CENTURY PLYBOARDS (INDIA) LIMITED,2436.0,Manufacturing,0.13703265011677065
IN0002966828,DENSO TEN UNO MINDA INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.13702865455683932
IN0007645906,MSKH SEATING SYSTEMS INDIA PRIVATE LIMITED,3631.0,Manufacturing,0.13682464331456304
IN33708FI,SOBHAGYA MERCANTILE LIMITED,3541.0,Manufacturing,0.13677078274057586
IN0004991643,WELMADE LOCKING SYSTEMS PRIVATE LIMITED,3499.0,Manufacturing,0.1356946510173439
IN0006327592,SUDISA FOUNDRY PRIVATE LIMITED,3281.0,Manufacturing,0.13490608709678922
IN0002999178,GAJANAN FERRO PRIVATE LIMITED,3312.0,Manufacturing,0.13470838434992968
IN33211FI,ASTRAL LIMITED,3089.0,Manufacturing,0.13434788662551456
IN0004598743,KAYPEE ELECTRONICS AND ASSOCIATES PRIVATE LIMITED,8062.0,Services,0.1334097076245201
IN0000022557,VSL INDIA PRIVATE LIMITED,3398.0,Manufacturing,0.1332154560357476
IN31672FI,M M FORGINGS LIMITED,3325.0,Manufacturing,0.13318812694013044
IN0002354972,DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,3559.0,Manufacturing,0.13315205416595607
IN0003032588,GANGA MEDICAL CENTRE AND HOSPITALS PRIVATE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.13295775136806362
IN0011390586,WARNER ELECTRONICS INDIA PRIVATE LIMITED,7389.0,Services,0.13281833978173616
IN30933FI,COFORGE LIMITED,7379.0,Services,0.13169718060315197
IN0004667536,KOMATSU INDIA PRIVATE LIMITED,3531.0,Manufacturing,0.13163648450114557
IN0008002869,LINCOLN ELECTRIC COMPANY (INDIA) PRIVATE LIMITED,3694.0,Manufacturing,0.13098825846063847
IN0002066764,ENNORE COAL TERMINAL PRIVATE LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.13063163795313845
IN0010415947,MEDTRONIC ENGINEERING AND INNOVATION CENTER PRIVATE LIMITED,8731.0,Services,0.12994267532117434
IN0008542519,PVH ARVIND FASHION PRIVATE LIMITED,5961.0,Retail Trade,0.12936550654700132
IN34266FI,TINNA RUBBER AND INFRASTRUCTURE LIMITED,3069.0,Manufacturing,0.12935208248755825
IN0011025376,TOYOTA LOGISTICS KISHOR INDIA PRIVATE LIMITED,4212.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.12876513069205084
IN0006022785,SAFRAN HAL AIRCRAFT ENGINES PRIVATE LIMITED,3721.0,Manufacturing,0.1280611809647045
IN0006394005,SPRAY ENGINEERING DEVICES LIMITED,3564.0,Manufacturing,0.12772639012349216
IN0005959111,SKS FASTENERS LIMITED,3312.0,Manufacturing,0.12739686626487776
IN0002385747,DEXTRA INDIA PRIVATE LIMITED,3531.0,Manufacturing,0.1273698796937418
IN0003414566,GUJARAT FLOTEX PRIVATE LIMITED,2211.0,Manufacturing,0.12683466189058892
IN0002938775,FOWLER WESTRUP (INDIA) PRIVATE LIMITED,7389.0,Services,0.12615786835621648
IN34663FI,R SYSTEMS INTERNATIONAL LIMITED,7379.0,Services,0.12569808213926223
IN34704FI,SAT INDUSTRIES LTD,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.12568986343551058
IN0005663321,THERMO CABLES LTD,3679.0,Manufacturing,0.12539109559901296
IN001577515IND,MAZAGON DOCK SHIPBUILDERS LIMITED,3731.0,Manufacturing,0.12534547540831317
IN001139079IND,KRISHIVAL FOODS LIMITED,2068.0,Manufacturing,0.12489507869591394
IN0000257167,ADANI LOGISTICS LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.12486446557732662
IN0000570117,AIR INDIA SATS AIRPORT SERVICES PRIVATE LIMITED,7389.0,Services,0.12473577178026485
IN0005743684,TRINITY TOUCH PRIVATE LIMITED,7389.0,Services,0.12447527785310436
IN0007949309,ELMEX ELECTRIC PRIVATE LIMITED,3613.0,Manufacturing,0.1240249965903412
IN903999FI,MANORAMA INDUSTRIES LIMITED,2079.0,Manufacturing,0.12391864217831143
IN37383FI,KOTHARI PETROCHEMICALS LIMITED,2865.0,Manufacturing,0.12346726775681738
IN32960FI,KILITCH DRUGS INDIA LIMITED,2834.0,Manufacturing,0.1232372094775458
IN0013004154,TOYOTA MATERIAL HANDLING INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.12317223765356546
IN0004290468,KAMATHS OURTIMES ICECREAMS PRIVATE LIMITED,2021.0,Manufacturing,0.12297502304776653
IN0006267025,STG LABS INDIA PRIVATE LIMITED,7375.0,Services,0.12263202246131345
IN0007243037,PROTIVITI INDIA MEMBER PRIVATE LIMITED,8111.0,Services,0.12235433399017769
IN0012857344,SHREEGLUCO BIOTECH PRIVATE LIMITED,2051.0,Manufacturing,0.12176375795764154
IN0013596287,NEXTEER AUTOMOTIVE INDIA PRIVATE LIMITED,3799.0,Manufacturing,0.1211722186282179
IN0000228057,ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,Services,0.12019324355471382
IN0009563663,UNITOP CHEMICALS PRIVATE LIMITED,2869.0,Manufacturing,0.12002774670334981
