Name,SIC,BVD,Industry
AT&T GLOBAL BUSINESS SERVICES INDIA PRIVATE LIMITED,4899.0,IN0001234127,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ATHAANG DICHPALLY TOLLWAY PRIVATE LIMITED,1611.0,IN0013649372,Construction
ATHENA BPO PRIVATE LIMITED,5085.0,IN0000948465,Wholesale Trade
ATMECS TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0014227781,Services
ATOZ LOGISTICS LIMITED,4789.0,IN0001252968,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ATRIA BRINDAVAN POWER PRIVATE LIMITED,4911.0,IN0001241353,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ATRIA CONVERGENCE TECHNOLOGIES LIMITED,4899.0,IN0000282681,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ATUL FINSERV LIMITED,5085.0,IN0000308164,Wholesale Trade
AUDAX PROTECTIVE FABRICS PRIVATE LIMITED,8721.0,IN0011782037,Services
AURIGENE ONCOLOGY LIMITED,2834.0,IN0000215629,Manufacturing
AUROBINDO PHARMA LIMITED,2834.0,IN30436FI,Manufacturing
AUROGLOBAL COMTRADE PRIVATE LIMITED,1011.0,IN0001258536,Mining
AUTOMATION ANYWHERE SOFTWARE PRIVATE LIMITED,7371.0,IN0001246524,Services
AVAADA SOLAR ENERGY PRIVATE LIMITED,4911.0,IN0014691201,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AVALON TECHNOLOGIES LIMITED,3672.0,IN401761FI,Manufacturing
AVANTI FROZEN FOODS PRIVATE LIMITED,912.0,IN0014359509,Public Administration
AVI WORLDWIDE PRIVATE LIMITED,3089.0,IN0001346396,Manufacturing
AVIAN INFRASTRUCTURE AND ENERGY PRIVATE LIMITED,1629.0,IN0015093749,Construction
AVIOM INDIA HOUSING FINANCE PRIVATE LIMITED,6159.0,IN0015430379,"Finance, Insurance, and Real Estate"
AVT MCCORMICK INGREDIENTS PRIVATE LIMITED,5141.0,IN0000235212,Wholesale Trade
AXIS WIND FARMS (RAYALASEEMA) PRIVATE LIMITED,4911.0,IN0001372644,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AY SECURITIES & COMMODITIES LIMITED,7389.0,IN0003195989,Services
AYE FINANCE PRIVATE LIMITED,6141.0,IN0007826885,"Finance, Insurance, and Real Estate"
B G P HEALTHCARE PRIVATE LIMITED,2834.0,IN0009484639,Manufacturing
B M AUTOSALES PRIVATE LIMITED,5012.0,IN0009525016,Wholesale Trade
B M G ENTERPRISES LTD,5085.0,IN0009278075,Wholesale Trade
B-ONE BUSINESS HOUSE PRIVATE LIMITED,912.0,IN0009412742,Public Administration
B. G. A. TRADELINK PRIVATE LIMITED,5999.0,IN0009427393,Retail Trade
B.P.PODDAR HOSPITAL AND MEDICAL RESEARCH LIMITED,5085.0,IN0009437353,Wholesale Trade
B4U BROADBAND (INDIA) PRIVATE LIMITED,7375.0,IN0009404067,Services
B4U TELEVISION NETWORK INDIA LIMITED,7812.0,IN0009404122,Services
BA CONTINUUM INDIA PRIVATE LIMITED,7371.0,IN0001484082,Services
BABA CONSTRUCTION PRIVATE LIMITED,1611.0,IN0001497892,Construction
BABA SUPER MINERALS PRIVATE LIMITED,1499.0,IN0001506446,Mining
BAGMANE DEVELOPERS PRIVATE LIMITED,6531.0,IN0001506294,"Finance, Insurance, and Real Estate"
BAHADUR CHAND INVESTMENTS PRIVATE LIMITED,6141.0,IN0001511736,"Finance, Insurance, and Real Estate"
BAHUVIDHAAH HOLDINGS PRIVATE LIMITED,2819.0,IN0013726942,Manufacturing
BAJAJ CAPITAL INSURANCE BROKING LIMITED,6411.0,IN0001520772,"Finance, Insurance, and Real Estate"
BAJAJ HEALTHCARE LTD,2834.0,IN116867FI,Manufacturing
BAJAJ STEEL INDUSTRIES LIMITED,3089.0,IN32629FI,Manufacturing
BALAJEE INFRATECH AND CONSTRUCTIONS PRIVATE LIMITED,1629.0,IN0001490018,Construction
BALAJI AGRO PRIVATE LIMITED,2099.0,IN0001495581,Manufacturing
BALAJI FILAMENTS PRIVATE LIMITED,2281.0,IN0000215838,Manufacturing
BALAJI SWITCHGEARS PRIVATE LIMITED,3679.0,IN0001462637,Manufacturing
BALAJI WAFERS PRIVATE LIMITED,2051.0,IN0001470723,Manufacturing
BALAXI OVERSEAS PRIVATE LIMITED,5085.0,IN0001005035,Wholesale Trade
BALAXI PHARMACEUTICALS LIMITED,2834.0,IN116275FI,Manufacturing
BALLY JUTE COMPANY LTD,5131.0,IN001579803IND,Wholesale Trade
BALMUKUND SPONGE AND IRON PRIVATE LIMITE D,3321.0,IN0001444024,Manufacturing
