BVD,Name,SIC,Industry,OM
IN0001919066,CARGILL BUSINESS SERVICES INDIA PRIVATE LIMITED,8742.0,Services,0.15093768116936673
IN0015217698,MADHEPURA ELECTRIC LOCOMOTIVE PRIVATE LIMITED,3799.0,Manufacturing,0.15067673760225786
IN0003644518,ARCADIS CONSULTING INDIA PRIVATE LIMITED,7375.0,Services,0.15030944766868795
IN0002502955,CDET EXPLOSIVE INDUSTRIES PRIVATE LIMITED,3569.0,Manufacturing,0.14943175898116448
IN111777FI,M.R.ORGANISATION LIMITED,3631.0,Manufacturing,0.14908492533161216
IN0006047781,SOFTGEL HEALTHCARE PRIVATE LIMITED,2834.0,Manufacturing,0.1486061435624317
IN0015441306,DIAGEO BUSINESS SERVICES INDIA PRIVATE LIMITED,7389.0,Services,0.14754716898721063
IN31182FI,FRONTIER SPRINGS LIMITED,3493.0,Manufacturing,0.14739290438283723
IN0004648108,KLA-TENCOR SOFTWARE INDIA PRIVATE LIMITED,7371.0,Services,0.14694906909995484
IN0010976785,SANDISK INDIA DEVICE DESIGN CENTRE PRIVATE LIMITED,7374.0,Services,0.14679953503234064
IN33997FI,ASTEC LIFESCIENCES LIMITED,7379.0,Services,0.14663809176123732
IN0010803607,MADHU SILICA PRIVATE LIMITED,2299.0,Manufacturing,0.14441300243440713
IN0003729069,IMERYS NEWQUEST (INDIA) PRIVATE LIMITED,2299.0,Manufacturing,0.14352034536426309
IN30363FI,SHREE CEMENT LIMITED,3241.0,Manufacturing,0.14319636546441236
IN117593FI,AIRAN LIMITED,7299.0,Services,0.14212259435888444
IN0006111681,SPECIALITY SINTERED PRODUCTS PRIVATE LIMITED,3714.0,Manufacturing,0.14161983621505617
IN0014250713,DTCC ENTERPRISE SERVICES INDIA PRIVATE LIMITED,7375.0,Services,0.14097926689709314
IN0010172396,DP WORLD MULTIMODAL LOGISTICS HYDERABAD PRIVATE LIMITED,4225.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.14091141066850874
IN0004843672,YARDI SOFTWARE INDIA PRIVATE LIMITED,7375.0,Services,0.14079970453554735
IN0000250794,ROOTS MULTI CLEAN LIMITED,3559.0,Manufacturing,0.1407309504658524
IN0006454102,SUBHASH SAREES & INDUSTRIES PRIVATE LIMITED,2281.0,Manufacturing,0.1404468863078742
IN114114FI,SHARDA CROPCHEM LIMITED,2899.0,Manufacturing,0.1403967634215312
IN0014364291,EZESOFTWARE INDIA PRIVATE LIMITED,7371.0,Services,0.14039066003403297
IN0009602415,SARNA CHEMICALS PRIVATE LIMITED,2834.0,Manufacturing,0.14030928256949493
IN0020486423,TULSI PAPER MILLS PRIVATE LIMITED,2621.0,Manufacturing,0.14011384474928296
IN0001208264,ALLIED JB FRICTION PRIVATE LIMITED,3799.0,Manufacturing,0.13952610131794602
IN0003181842,GLF LIFESTYLE BRANDS PRIVATE LIMITED,5085.0,Wholesale Trade,0.13951113887322303
IN0014405043,DYWIDAG BRIDGECON INDIA PRIVATE LIMITED,8742.0,Services,0.13766597802246808
IN0006796691,ROTOSTAT SERVICES PRIVATE LIMITED,7389.0,Services,0.137605940729862
IN0008441979,MORGAN STANLEY ADVANTAGE SERVICES PRIVATE LIMITED,7375.0,Services,0.1376011575005189
IN0011779424,SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED,7375.0,Services,0.13737823421160453
IN30967FI,ULTRATECH CEMENT LIMITED,3241.0,Manufacturing,0.13727635571056218
IN0001369209,ARISTOCRAT TECHNOLOGIES INDIA PRIVATE LIMITED,7389.0,Services,0.13671677817483455
IN0008307415,MERCEDES-BENZ RESEARCH AND DEVELOPMENT INDIA PRIVATE LIMITED,8743.0,Services,0.1360066438665021
IN117483FI,KRISHANA PHOSCHEM LTD,2875.0,Manufacturing,0.13585821703516243
IN0000400929,CII GUARDIAN INTERNATIONAL LIMITED,3559.0,Manufacturing,0.13538481790902834
IN0019959338,KYODO YUSHI INDIA PRIVATE LIMITED,2992.0,Manufacturing,0.13500401175395452
IN0007927584,ELICA PB WHIRLPOOL KITCHEN APPLIANCES PRIVATE LIMITED,3631.0,Manufacturing,0.13499951184168243
IN30983FI,GRANULES INDIA LIMITED,2834.0,Manufacturing,0.13491491986053936
IN0013121307,RAMBOLL INDIA PRIVATE LIMITED,7371.0,Services,0.13481537928537957
IN0003080307,GAWAR CONSTRUCTION LIMITED.,6531.0,"Finance, Insurance, and Real Estate",0.13476667023035035
IN001202134IND,CAMPUS ACTIVEWEAR LIMITED,3149.0,Manufacturing,0.1346797031603836
IN117653FI,GTPL HATHWAY LIMITED,4841.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.13452419659742135
IN0013820192,ADVENT CHEMBIO PRIVATE LIMITED,2834.0,Manufacturing,0.13441416865590242
IN001577497IND,ROSSARI BIOTECH LIMITED,2899.0,Manufacturing,0.13412967310165488
IN0004627072,KISANKRAFT LIMITED,3545.0,Manufacturing,0.13401704578362938
IN0008056607,MCKINSEY GLOBAL CAPABILITIES & SERVICES PRIVATE LIMITED,7371.0,Services,0.13387424751042615
IN0007445057,NORTHERN OPERATING SERVICES PRIVATE LIMITED,7374.0,Services,0.13378159377643645
IN0001890039,CAMBIUM NETWORKS PRIVATE LIMITED,7389.0,Services,0.1333332545797394
IN32864FI,TASTY BITE EATABLES LIMITED,2038.0,Manufacturing,0.13308165576016237
IN0001149649,EXPERIS IT PRIVATE LIMITED,7375.0,Services,0.13304986269086128
IN0010883963,KYOSAN INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.13275615468543853
IN0011014103,SHRI BAJRANG POWER AND ISPAT LIMITED,3315.0,Manufacturing,0.13218482098092976
IN0002165097,CROSSLAY REMEDIES LIMITED,2833.0,Manufacturing,0.1319758872185878
IN0009708394,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,7375.0,Services,0.13175441063100554
IN0002582112,EQUIRUS SECURITIES PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.1316008123587199
IN0001760221,BMR HVAC LIMITED,3714.0,Manufacturing,0.13134732152826237
IN0016114677,NTS TECHNOLOGY SERVICES PRIVATE LIMITED,7375.0,Services,0.13068608847470886
IN0000948242,ANDRITZ TECHNOLOGIES PRIVATE LIMITED,3559.0,Manufacturing,0.13007661008250157
IN0005709626,TRBEX IMPEX PRIVATE LIMITED,5085.0,Wholesale Trade,0.12995472027577662
IN0010462566,ASIAN THAI FOODS INDIA PRIVATE LIMITED,2051.0,Manufacturing,0.12969682049805828
IN0015276916,UBS BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,7389.0,Services,0.12931121930108172
IN30723FI,SRF LIMITED,2299.0,Manufacturing,0.12925802394692934
IN114936FI,TBO TEK LIMITED,4724.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.12867976992628186
IN0005126234,VANDERLANDE INDUSTRIES PRIVATE LIMITED,7371.0,Services,0.12835151977491654
IN001580674IND,TCNS CLOTHING CO. LIMITED,2387.0,Manufacturing,0.1282798625288523
