,BVD,Name,SIC,Industry,RG
182,IN0007759218,EPICENTER TECHNOLOGIES PRIVATE LIMITED,7375.0,Services,0.36450114457633936
28,IN0000558271,ABAD OVERSEAS PRIVATE LIMITED,5085.0,Wholesale Trade,0.3550821645063909
45,IN0001393789,AZURE POWER INDIA PRIVATE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.3536108639725004
391,IN32423FI,PRIVI SPECIALITY CHEMICALS LIMITED,2899.0,Manufacturing,0.35245885479794176
329,IN0019959338,KYODO YUSHI INDIA PRIVATE LIMITED,2992.0,Manufacturing,0.34731783301443425
57,IN0001831344,BRILLIANT POLYMERS PRIVATE LIMITED,2834.0,Manufacturing,0.3447004189926583
311,IN0015276916,UBS BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,7389.0,Services,0.3433330383593611
378,IN31362FI,IOL CHEMICALS AND PHARMACEUTICALS LIMITED,2899.0,Manufacturing,0.3407814953759993
320,IN001576439IND,NEOGEN CHEMICALS LIMITED,2869.0,Manufacturing,0.3407158444708422
248,IN0011652772,SBI-SG GLOBAL SECURITIES SERVICES PRIVATE LIMITED,7389.0,Services,0.3383272642536917
74,IN0002441478,DHARIWAL INFRASTRUCTURE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.3379324836989442
170,IN0007425033,NISSAN TRADING INDIA PRIVATE LIMITED,7538.0,Services,0.3375376153842234
201,IN0009132394,M B ISPAT CORPORATION LIMITED,3312.0,Manufacturing,0.3350162956809754
353,IN117653FI,GTPL HATHWAY LIMITED,4841.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.33462696820212284
280,IN0013126521,SHIN-ETSU POLYMER INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.33283753314101233
133,IN0005400926,VISAKHA CONTAINER TERMINAL PRIVATE LIMITED,7389.0,Services,0.3276745509313138
150,IN0006103892,SPARSH BIO-TECH PRIVATE LIMITED,2834.0,Manufacturing,0.3259278380316073
168,IN0007098332,PAREKH INTEGRATED SERVICES PRIVATE LIMITED,5085.0,Wholesale Trade,0.32507371358670395
321,IN001577497IND,ROSSARI BIOTECH LIMITED,2899.0,Manufacturing,0.3225239380925789
306,IN0015158986,CME INDIA PRIVATE LIMITED,7389.0,Services,0.32204680248079753
186,IN0007854577,EAST HOOGHLY POLYPLAST PRIVATE LIMITED,3089.0,Manufacturing,0.321302466074523
167,IN0006887632,QUARKCITY INDIA PRIVATE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.31600917347434987
411,IN34699FI,AGARWAL INDUSTRIAL CORPORATION LTD,5171.0,Wholesale Trade,0.31315530663567476
6,IN0000235328,INVENIRE PETRODYNE LIMITED,1311.0,Mining,0.3129098743023336
108,IN0003729069,IMERYS NEWQUEST (INDIA) PRIVATE LIMITED,2299.0,Manufacturing,0.31185400868086327
62,IN0001919066,CARGILL BUSINESS SERVICES INDIA PRIVATE LIMITED,8742.0,Services,0.3092005980275951
110,IN0003764543,INDIAN METALS & ALLOYS MANUFACTURING COMPANY PRIVATE LIMITED,3321.0,Manufacturing,0.3065193070612125
