,BVD,Name,SIC,Industry,RG
179,IN0007969602,HELLERMANNTYTON PRIVATE LIMITED,8721.0,Services,0.39729096118906576
206,IN0010255688,ECIL-RAPISCAN LIMITED,3531.0,Manufacturing,0.3891915814100268
104,IN0003022158,GANDEVIKAR JEWELLERS PVT LTD,3911.0,Manufacturing,0.3866175930534925
213,IN0010704343,LANSON MOTORS PRIVATE LIMITED,5085.0,Wholesale Trade,0.38557389278860293
349,IN32290FI,SELAN EXPLORATION TECHNOLOGY LIMITED,1382.0,Mining,0.3843949132085736
55,IN0000672939,AICHELIN UNITHERM HEAT TREATMENT SYSTEMS INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.384301818531749
114,IN0003734397,BROOKS BROTHERS INDIA PRIVATE LIMITED,7389.0,Services,0.38331883999008326
332,IN31417FI,NATIONAL PLASTIC TECHNOLOGIES LTD.,3089.0,Manufacturing,0.3824473476363728
220,IN0011025376,TOYOTA LOGISTICS KISHOR INDIA PRIVATE LIMITED,4212.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.38183032368900166
305,IN30083FI,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,3613.0,Manufacturing,0.3807289887125242
131,IN0004862969,ZF HERO CHASSIS SYSTEMS PRIVATE LIMITED,3714.0,Manufacturing,0.37927276270206994
372,IN34266FI,TINNA RUBBER AND INFRASTRUCTURE LIMITED,3069.0,Manufacturing,0.3761132896877777
210,IN0010415947,MEDTRONIC ENGINEERING AND INNOVATION CENTER PRIVATE LIMITED,8731.0,Services,0.3759706501134123
175,IN0007792725,JSG INNOTECH PRIVATE LIMITED,3714.0,Manufacturing,0.3738024476948552
124,IN0004256569,KALINGA COMMERCIAL CORPORATION LIMITED,1629.0,Construction,0.3734871167857153
66,IN0001378765,AXLES INDIA LIMITED,3339.0,Manufacturing,0.3734127590836189
8,IN0000219064,SUDHIR POWER LIMITED,7389.0,Services,0.3731494328543463
247,IN0013140457,LUMAX MANNOH ALLIED TECHNOLOGIES LIMITED,3751.0,Manufacturing,0.3730566101654587
70,IN0001550913,BFN FORGINGS PRIVATE LIMITED,3499.0,Manufacturing,0.37154334397150773
146,IN0005765174,TRIVENI ALMIRAH PRIVATE LIMITED,3911.0,Manufacturing,0.3672242984410463
102,IN0002966828,DENSO TEN UNO MINDA INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.36626836940853424
324,IN31071FI,AVANTEL LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.36559173265499134
127,IN0004598743,KAYPEE ELECTRONICS AND ASSOCIATES PRIVATE LIMITED,8062.0,Services,0.36552580814327623
6,IN0000024645,MAGEBA BRIDGE PRODUCTS PRIVATE LIMITED,1799.0,Construction,0.36544350145594157
383,IN39771FI,EMUDHRA LIMITED,7379.0,Services,0.36397372559106045
57,IN0000750234,ALP AEROFLEX INDIA PRIVATE LIMITED,3069.0,Manufacturing,0.36320815138748713
292,IN115943FI,METRO BRANDS LIMITED,5139.0,Wholesale Trade,0.3620706793357171
380,IN37128FI,CRAFTSMAN AUTOMATION LIMITED,8711.0,Services,0.36020040244662704
