Name,SIC,BVD,Industry
PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED,6019.0,IN0000300145,"Finance, Insurance, and Real Estate"
PARANJAPE AUTOCAST PRIVATE LIMITED,3321.0,IN0007086246,Manufacturing
PARSURAM ARAWALI HIGHWAYS PRIVATE LIMITED,4789.0,IN0015543368,"Transportation, Communications, Electric, Gas, and Sanitary Services"
PENGG USHA MARTIN WIRES PRIVATE LIMITED,3315.0,IN0007078317,Manufacturing
PEPE JEANS INDIA LIMITED,5131.0,IN0008150878,Wholesale Trade
PERSISTENT SYSTEMS LIMITED,7379.0,IN33998FI,Services
PG ELECTROPLAST LIMITED,3679.0,IN34608FI,Manufacturing
PHILLIPS CARBON BLACK LIMITED,2819.0,IN31564FI,Manufacturing
PLASTIC OMNIUM AUTO EXTERIORS (INDIA) PRIVATE LIMITED,3714.0,IN0007222599,Manufacturing
PPFAS ASSET MANAGEMENT PRIVATE LIMITED,6021.0,IN0006878546,"Finance, Insurance, and Real Estate"
PRECIA MOLEN INDIA PRIVATE LIMITED,3631.0,IN0008515331,Manufacturing
PROTIVITI INDIA MEMBER PRIVATE LIMITED,8111.0,IN0007243037,Services
PVH ARVIND FASHION PRIVATE LIMITED,5961.0,IN0008542519,Retail Trade
QUANT MONEY MANAGERS LIMITED,7389.0,IN0000299966,Services
R SYSTEMS INTERNATIONAL LIMITED,7379.0,IN34663FI,Services
RAICAM AUTOMOTIVE PRIVATE LIMITED,3799.0,IN0012056803,Manufacturing
RAJ PROCESS EQUIPMENTS AND SYSTEMS PRIVATE LIMITED,3559.0,IN0009925975,Manufacturing
RAJHANS NUTRIMENTS PRIVATE LIMITED,2099.0,IN0012775237,Manufacturing
RAJSHA CHEMICALS PRIVATE LIMITED,2869.0,IN0009772189,Manufacturing
RAJSHREE POLYPACK LIMITED,3999.0,IN925653FI,Manufacturing
RAMKRISHNA FORGINGS LIMITED,3462.0,IN33881FI,Manufacturing
RATHOD JEWELLERY MANUFACTURING PRIVATE LIMITED,3911.0,IN0014708351,Manufacturing
RATNAMANI METALS & TUBES LTD.,3399.0,IN31933FI,Manufacturing
RAYIRTH HOLDING AND TRADING COMPANY PRIVATE LIMITED,6019.0,IN0011616023,"Finance, Insurance, and Real Estate"
RAYMOND LIMITED,2299.0,IN30089FI,Manufacturing
REMC LIMITED,7299.0,IN0013513924,Services
RICHEMONT INDIA PRIVATE LIMITED,5199.0,IN0006709508,Wholesale Trade
RIGHT TIGHT FASTNERS PRIVATE LIMITED,3451.0,IN0006646069,Manufacturing
RIVER ENGINEERING PRIVATE LIMITED,8742.0,IN0006670457,Services
ROCKMAN ADVANCED COMPOSITES PRIVATE LIMITED,3499.0,IN0008401983,Manufacturing
ROTO PUMPS LTD,3561.0,IN31412FI,Manufacturing
RUPTECH EDUCATIONAL INDIA,8211.0,IN0006856016,Services
SAFRAN HAL AIRCRAFT ENGINES PRIVATE LIMITED,3721.0,IN0006022785,Manufacturing
SAINT-GOBAIN INDIA PRIVATE LIMITED,2899.0,IN0000216819,Manufacturing
SAINT-GOBAIN SEKURIT INDIA LIMITED,3211.0,IN30854FI,Manufacturing
SAKSOFT LIMITED,5734.0,IN32826FI,Retail Trade
SANGHVI MOVERS LIMITED,7353.0,IN31392FI,Services
SAREGAMA INDIA LIMITED,4833.0,IN30717FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
SAT INDUSTRIES LTD,4899.0,IN34704FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
SATAKE INDIA ENGINEERING PRIVATE LIMITED,7389.0,IN0014525977,Services
SATRAC ENGINEERING PRIVATE LIMITED,3523.0,IN0009946033,Manufacturing
SAYYAM INVESTMENTS PRIVATE LIMITED,6141.0,IN0012489136,"Finance, Insurance, and Real Estate"
SCHAEFFLER INDIA LIMITED,3562.0,IN30588FI,Manufacturing
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,3694.0,IN0000972352,Manufacturing
SELAN EXPLORATION TECHNOLOGY LIMITED,1382.0,IN32290FI,Mining
SHANTHI GEARS LIMITED,3566.0,IN30940FI,Manufacturing
SHARE INDIA ALGOPLUS PRIVATE LIMITED,5085.0,IN0010468046,Wholesale Trade
SHILCHAR TECHNOLOGIES LTD,3612.0,IN33720FI,Manufacturing
SHIVA DISTILLERIES PRIVATE LIMITED,2085.0,IN0000219793,Manufacturing
