Name,SIC,BVD,Industry
BALAR SYNTHETICS PRIVATE LIMITED,2823.0,IN0001411016,Manufacturing
BALIRAJA SAKHAR KARKHANA LIMITED,2061.0,IN0001430083,Manufacturing
BALSON POLYPLAST PRIVATE LIMITED,2281.0,IN0001447646,Manufacturing
BANGALORE ELEVATED TOLLWAY PRIVATE LIMITED,1629.0,IN0001434862,Construction
BANSAL ARADHYA STEEL PRIVATE LIMITED,3679.0,IN0001316393,Manufacturing
BANSAL STEEL & POWER LIMITED,7389.0,IN0000235157,Services
BARDHAMAN AGRO PRODUCTS (I) PRIVATE LIMITED,2033.0,IN0001449874,Manufacturing
BATA INDIA LIMITED,3149.0,IN30023FI,Manufacturing
BAUER EQUIPMENT INDIA PRIVATE LIMITED,7389.0,IN0001408709,Services
BBL DAIDO PRIVATE LIMITED,3694.0,IN0001537784,Manufacturing
BCV DEVELOPERS PRIVATE LIMITED,1629.0,IN0000025284,Construction
BELSTAR MICROFINANCE LIMITED,6159.0,IN0001568837,"Finance, Insurance, and Real Estate"
BENARES HOTELS LIMITED,7011.0,IN30422FI,Services
BENGAL BEVERAGES PVT LTD,2084.0,IN0001559497,Manufacturing
BENTEC INDIA LIMITED,3612.0,IN0001568132,Manufacturing
BERRY ALLOYS LIMITED,3321.0,IN0001586453,Manufacturing
BEST CAST IT LIMITED,3321.0,IN0001603791,Manufacturing
BEST POWER EQUIPMENTS INDIA PRIVATE LIMITED,3691.0,IN0001591218,Manufacturing
BESTECH HOSPITALITIES PRIVATE LIMITED,7389.0,IN0001629169,Services
BESTSELLER WHOLESALE INDIA PRIVATE LIMITED,5199.0,IN0001636222,Wholesale Trade
BET MEDICAL PRIVATE LIMITED,5962.0,IN0001637635,Retail Trade
BFN FORGINGS PRIVATE LIMITED,3499.0,IN0001550913,Manufacturing
BGR MINING & INFRA LIMITED,1799.0,IN0001625053,Construction
BHAGVATI AUTOLINK PRIVATE LIMITED,5012.0,IN0012461159,Wholesale Trade
BHAGWATI COMPUTRONICS PRIVATE LIMITED,5085.0,IN0011940232,Wholesale Trade
BHALOTIA AUTO PRODUCTS PRIVATE LIMITED,2434.0,IN0001605803,Manufacturing
BHARAT HOTELS LIMITED,7389.0,IN30384FI,Services
BHARAT WIRE ROPES LIMITED,3496.0,IN36473FI,Manufacturing
BHARTIA INFRA PROJECTS LIMITED,1611.0,IN0001654213,Construction
BHARTIYA GLOBAL VENTURES PRIVATE LIMITED,6111.0,IN0001655158,"Finance, Insurance, and Real Estate"
BHARUCH DAHEJ RAILWAY COMPANY LIMITED,1611.0,IN0013439791,Construction
BHASKAR SILK MILLS PRIVATE LIMITED,2281.0,IN0010179636,Manufacturing
BHAVIN WHEELS PRIVATE LIMITED,5012.0,IN0014152513,Wholesale Trade
BHIMA JEWELLERY & DIAMONDS PRIVATE LIMITED,5999.0,IN0011223669,Retail Trade
BHRUNDA INFRA PRIVATE LIMITED,1799.0,IN0002414461,Construction
BI MINING PRIVATE LIMITED,1222.0,IN0015700183,Mining
BIHAR DISTILLERS & BOTTLERS PRIVATE LIMITED,2086.0,IN0001670966,Manufacturing
BILT GRAPHIC PAPER PRODUCTS LIMITED,2611.0,IN0001671909,Manufacturing
BINDALS PAPERS MILLS LIMITED,2611.0,IN0001695081,Manufacturing
BINNYS JEWELLERY PRIVATE LIMITED,3911.0,IN0014169043,Manufacturing
BIOMATRIX HEALTHCARE PRIVATE LIMITED,2834.0,IN0001693024,Manufacturing
BIOMEDIX OPTOTECHNIK AND DEVICES PRIVATE LIMITED,3841.0,IN0001694266,Manufacturing
BIRDEYE SOFTWARE INDIA PRIVATE LIMITED,7378.0,IN0016339985,Services
BIRLA FURUKAWA FIBRE OPTICS PRIVATE LIMITED,3827.0,IN0001696299,Manufacturing
BLACK DIAMOND EXPLOSIVES PRIVATE LIMITED,2819.0,IN0001741517,Manufacturing
BLACK DIAMOND MOTORS PRIVATE LIMITED,3711.0,IN0001832859,Manufacturing
BLACKBOARD INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED,7375.0,IN0014372918,Services
BLENHEIM CHALCOT IT SERVICES INDIA PRIVATE LIMITED,7374.0,IN0012271365,Services
BLS INTERNATIONAL SERVICES LIMITED,7389.0,IN117171FI,Services
BLUE STAR LIMITED,3585.0,IN30024FI,Manufacturing
BMC FERROCAST PRIVATE LIMITED,3312.0,IN0001758591,Manufacturing
BMS PROJECTS PRIVATE LIMITED,3942.0,IN0001760755,Manufacturing
BOBST INDIA PRIVATE LIMITED,5085.0,IN0000019716,Wholesale Trade
BONTON CABLES (INDIA) PRIVATE LIMITED,3679.0,IN0001781069,Manufacturing
BOROCHEMIE (INDIA) PRIVATE LIMITED,5085.0,IN0001786872,Wholesale Trade
BOROSIL RENEWABLES LIMITED,3221.0,IN31816FI,Manufacturing
BP INDIA PRIVATE LIMITED,5012.0,IN0001793948,Wholesale Trade
BPEA ADVISORS PRIVATE LIMITED,8742.0,IN0001794502,Services
BRAKES INDIA PRIVATE LIMITED,3694.0,IN0000213717,Manufacturing
BRAND CONCEPTS LIMITED,3199.0,IN621244FI,Manufacturing
BRAVO SPONGE IRON PRIVATE LIMITED,3312.0,IN0001809818,Manufacturing
BRENNTAG INGREDIENTS (INDIA) PRIVATE LIMITED,2819.0,IN0001812519,Manufacturing
BRIGHT ENTERPRISES PRIVATE LIMITED,2741.0,IN0004375834,Manufacturing
BRIGHTCOM GROUP LIMITED,5045.0,IN32478FI,Wholesale Trade
BRILLIANT ESTATES LIMITED,6531.0,IN0001830776,"Finance, Insurance, and Real Estate"
BRILLIANT POLYMERS PRIVATE LIMITED,2834.0,IN0001831344,Manufacturing
BRINDAVAN AGRO INDUSTRIES PRIVATE LIMITED TRS FROM UP TO DELHI,2086.0,IN0000251381,Manufacturing
BRINDCO SALES PRIVATE LIMITED,5141.0,IN0001837757,Wholesale Trade
BRIO INTERACTIVE TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0008940564,Services
BRITOMATICS INDIA PRIVATE LIMITED,7389.0,IN0008937241,Services
BRY- AIR (ASIA) PRIVATE LIMITED,8711.0,IN0000024125,Services
BS & B SAFETY SYSTEMS (INDIA) LIMITED,3569.0,IN0000266132,Manufacturing
BULL MACHINES PRIVATE LIMITED,3312.0,IN0001853525,Manufacturing
BURHANPUR TEXTILES LIMITED,2269.0,IN0001859627,Manufacturing
BWF TEC INDIA PRIVATE LIMITED,5199.0,IN0001868207,Wholesale Trade
C H JEWELLERS PRIVATE LIMITED,3911.0,IN0009486328,Manufacturing
C KRISHNIAH CHETTY AND SONS PRIVATE LIMITED,1041.0,IN0009291655,Mining
C.I.AUTOMOTORS PRIVATE LIMITED,5012.0,IN0010278841,Wholesale Trade
CALYX CONTAINER TERMINALS PRIVATE LIMITED,4789.0,IN0001888552,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CAMBRIDGE UNIVERSITY PRESS & ASSESSMENT INDIA PRIVATE LIMITED,2711.0,IN0001890633,Manufacturing
CAPACIT'E INFRAPROJECTS LIMITED,1541.0,IN117707FI,Construction
CAPITAL ONE SERVICES (INDIA) PRIVATE LIMITED,8721.0,IN0001909118,Services
CAPRICORN DISTILLERY PRIVATE LIMITED,2834.0,IN0012989668,Manufacturing
CARBOLINE (INDIA) PRIVATE LIMITED,2851.0,IN0001372523,Manufacturing
CARBORUNDUM UNIVERSAL LIMITED,3299.0,IN30680FI,Manufacturing
CASA GRANDE HOMES PRIVATE LIMITED,7389.0,IN0015178716,Services
CASEWELL DRILLING SERVICES PRIVATE LIMITED,3694.0,IN0001929012,Manufacturing
CATALYSTS BIO-TECHNOLOGIES PRIVATE LIMITED,2834.0,IN0001935335,Manufacturing
CATAPHARMA CHEMICALS PRIVATE LIMITED,2819.0,IN0001935577,Manufacturing
CATERPILLAR INDIA PRIVATE LIMITED,3531.0,IN0000396596,Manufacturing
CAVALCADE PROPERTIES PRIVATE LIMITED,6512.0,IN0001938679,"Finance, Insurance, and Real Estate"
CDC PRINTERS PRIVATE LIMITED,2711.0,IN0001943639,Manufacturing
CEEBROS HOTELS PRIVATE LIMITED,7021.0,IN0001946727,Services
CELEBI NAS AIRPORT SERVICES INDIA PRIVATE LIMITED,4581.0,IN0001948625,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CENTRAL U.P. GAS LIMITED,4922.0,IN0001957991,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CERES HOTELS PRIVATE LIMITED,7389.0,IN0014721912,Services
"CHAMPION CERAMICS PVT LTD.,",1499.0,IN0011537094,Mining
CHAMPION REFRATECH PRIVATE LIMITED,3251.0,IN0001990954,Manufacturing
CHAMUNDI DIE CAST PRIVATE LIMITED,1041.0,IN0001994123,Mining
CHANDIGARH INTERNATIONAL AIRPORT LIMITED,4581.0,IN0002005577,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CHANDIKA DEALER PRIVATE LIMITED,5085.0,IN0002006387,Wholesale Trade
CHECK POINT SOFTWARE TECHNOLOGIES INDIA PRIVATE LIMITED,7375.0,IN0002043977,Services
CHEEMA BOILERS LIMITED,3559.0,IN0002044597,Manufacturing
CHENNAI PETROLEUM CORPORATION LIMITED,2911.0,IN30523FI,Manufacturing
CHENNAI UNITED METAL INDUSTRIES PRIVATE LIMITED,3499.0,IN0002058023,Manufacturing
CHOICE EQUITY BROKING PRIVATE LIMITED,6159.0,IN0000350403,"Finance, Insurance, and Real Estate"
CHOKHI DHANI RESORTS PRIVATE LIMITED,7999.0,IN0010308303,Services
CHOWDRY ASSOCIATES,6021.0,IN0010412066,"Finance, Insurance, and Real Estate"
CHUAN SHUN ELECTRIC COMPANY INDIA PRIVATE LIMITED,3612.0,IN0010404809,Manufacturing
CIGNITI TECHNOLOGIES LIMITED,7379.0,IN33466FI,Services
CIMPRESS INDIA PRIVATE LIMITED,7389.0,IN0010558944,Services
CINEOM BROADCAST INDIA LIMITED,4833.0,IN0002073909,"Transportation, Communications, Electric, Gas, and Sanitary Services"
CIRCOR FLOW TECHNOLOGIES INDIA PRIVATE LIMITED,3561.0,IN0002076572,Manufacturing
CITIUSTECH HEALTHCARE TECHNOLOGY PRIVATE LIMITED,7375.0,IN0002081667,Services
CITIZEN UMBRELLA MANUFACTURERS LTD,3999.0,IN0000259775,Manufacturing
CLASSIC MALL DEVELOPMENT COMPANY LIMITED,6512.0,IN0002102832,"Finance, Insurance, and Real Estate"
CLEAN SCIENCE AND TECHNOLOGY LIMITED,2899.0,IN918992FI,Manufacturing
CLEAR WATER COMMODITIES PRIVATE LIMITED,5199.0,IN0002108656,Wholesale Trade
COAST TO COAST DESIGNS PRIVATE LIMITED,2269.0,IN0007871397,Manufacturing
COCHIN INTERNATIONAL AIRPORT LIMITED,4581.0,IN0000237611,"Transportation, Communications, Electric, Gas, and Sanitary Services"
COLORJET INDIA LIMITED,3999.0,IN0010319505,Manufacturing
COLOURTECH COATING (INDIA) PRIVATE LIMITED,7389.0,IN0010434228,Services
COMFORT TRIMS PRIVATE LIMITED,3711.0,IN0008690343,Manufacturing
CONFIDENCE FUTURISTIC ENERGETECH LIMITED,3593.0,IN113613FI,Manufacturing
CONFIDENCE PETROLEUM INDIA LTD,1321.0,IN32997FI,Mining
CONGRUENT SOLUTIONS PRIVATE LIMITED,3799.0,IN0010311106,Manufacturing
CONNAUGHT PLAZA RESTAURANTS PRIVATE LIMITED,7389.0,IN0010355252,Services
CONSERO SOLUTIONS INDIA PRIVATE LIMITED,7374.0,IN0010419795,Services
CONSILIO INDIA PRIVATE LIMITED,8742.0,IN0003640314,Services
CONTINENTAL AUTOMOTIVE COMPONENTS (INDIA) PRIVATE LIMITED,3694.0,IN0010392856,Manufacturing
CONTINENTAL ENGINES PRIVATE LIMITED,8111.0,IN0010359786,Services
COREEL TECHNOLOGIES (INDIA) PRIVATE LIMITED,7371.0,IN0010283713,Services
COROMANDEL INTERNATIONAL LIMITED,2874.0,IN30012FI,Manufacturing
CPC DIAGNOSTICS PRIVATE LIMITED,5962.0,IN0002124963,Retail Trade
